etter	English	French 	German 	Spanish	Portuguese	Esperanto 	Italian	Turkish  Swedish Polish Dutch Danish  Icelandic Finnish Czech
a	8.167%	7.636% 6.516%	11.525%		14.634%	12.117%	11.745%	   11.920%	  9.383%	8.910%	7.486%	6.025%	     10.110%	 12.217%    8.421%
b	1.492%	0.901% 1.886%	2.215%		1.043%	0.980%	0.927%	   2.844%	  1.535%	1.470%	1.584%	2.000%	     1.043%	 0.281%	    0.822%
c	2.782%	3.260% 2.732%	4.019%		3.882%	0.776%	4.501%	   0.963%	  1.486%	3.960%	1.242%	0.565%	     0		 0.281%	    0.740%
d	4.253%	3.669% 5.076%	5.010%		4.992%	3.044%	3.736%	   4.706%	  4.702%	3.250%	5.933%	5.858%	     1.575%	 1.043%	    3.475%
e	12.702%	14.715%		16.396%		12.181%	12.570%	8.995%	   11.792%	  8.912%	10.149%	7.660%	18.91%	     15.453%	 6.418%	    7.968% 7.562%
f	2.228%	1.066%		1.656%		0.692%	1.023%	1.037%	   1.153%	  0.461%	2.027%	0.300%	0.805%	     2.406%	 3.013%	    0.194% 0.084%
g	2.015%	0.866%		3.009%		1.768%	1.303%	1.171%	   1.644%	  1.253%	2.862%	1.420%	3.403%	     4.077%	 4.241%	    0.392% 0.092%
h	6.094%	0.737%		4.577%		0.703%	0.781%	0.384%	   0.636%	  1.212%	2.090%	1.080%	2.380%	     1.621%	 1.871%	    1.851% 1.356%
i	6.966%	7.529%		6.550%		6.247%	6.186%	10.012%	   10.143%	  8.600%*	5.817%	8.210%	6.499%	     6.000%	 7.578%	    10.817% 6.073%
j	0.153%	0.613%		0.268%		0.493%	0.397%	3.501%	   0.011%	  0.034%	0.614%	2.280%	1.46%	     0.730%	 1.144%	    2.042%  1.433%
k	0.772%	0.074%		1.417%		0.011%	0.015%	4.163%	   0.009%	  4.683%	3.140%	3.510%	2.248%	     3.395%	 3.314%	    4.973%  2.894%
l	4.025%	5.456%		3.437%		4.967%	2.779%	6.104%	   6.510%	  5.922%	5.275%	2.100%	3.568%	     5.229%	 4.532%	    5.761%  3.802%
m	2.406%	2.968%		2.534%		3.157%	4.738%	2.994%	   2.512%	  3.752%	3.471%	2.800%	2.213%	     3.237%	 4.041%	    3.202%  2.446%
n	6.749%	7.095%		9.776%		6.712%	4.446%	7.955%	   6.883%	  7.487%	8.542%	5.520%	10.032%	     7.240%	 7.711%	    8.826%  6.468%
o	7.507%	5.796%		2.594%		8.683%	9.735%	8.779%	   9.832%	  2.476%	4.482%	7.750%	6.063%	     4.636%	 2.166%	    5.614%  6.695%
p	1.929%	2.521%		0.670%		2.510%	2.523%	2.755%	   3.056%	  0.886%	1.839%	3.130%	1.57%	     1.756%	 0.789%	    1.842%  1.906%
q	0.095%	1.362%		0.018%		0.877%	1.204%	0	   0.505%	  0		0.020%	0.140%	0.009%	     0.007%	 0	    0.013%  0.001%
r	5.987%	6.693%		7.003%		6.871%	6.530%	5.914%	   6.367%	  6.722%	8.431%	4.690%	6.411%	     8.956%	 8.581%	    2.872%  4.799%
s	6.327%	7.948%		7.270%		7.977%	6.805%	6.092%	   4.981%	  3.014%	6.590%	4.320%	3.73%	     5.805%	 5.630%	    7.862%  5.212%
t	9.056%	7.244%		6.154%		4.632%	4.336%	5.276%	   5.623%	  3.314%	7.691%	3.980%	6.79%	     6.862%	 4.953%	    8.750%  5.727%
u	2.758%	6.311%		4.166%		2.927%	3.639%	3.183%	   3.011%	  3.235%	1.919%	2.500%	1.99%	     1.979%	 4.562%	    5.008%  2.160%
v	0.978%	1.838%		0.846%		1.138%	1.575%	1.904%	   2.097%	  0.959%	2.415%	0.040%	2.85%	     2.332%	 2.437%	    2.250%  5.344%
w	2.360%	0.049%		1.921%		0.017%	0.037%	0	   0.033%	  0		0.142%	4.650%	1.52%	     0.069%	 0	    0.094%  0.016%
x	0.150%	0.427%		0.034%		0.215%	0.253%	0	   0.003%	  0		0.159%	0.020%	0.036%	     0.028%	 0.046%	    0.031%  0.027%
y	1.974%	0.128%		0.039%		1.008%	0.006%	0	   0.020%	  3.336%	0.708%	3.760%	0.035%	     0.698%	 0.900%	    1.745%  1.043%
z	0.074%	0.326%		1.134%		0.467%	0.470%	0.494%	   1.181%	  1.500%	0.070%	5.640%	1.39%	     0.034%	 0	    0.051%  1.599%
à	~0%	0.486%		0		0	0.072%	0	   0.635%	  0		0	0	0	     0		 0	    0	    0
â	~0%	0.051%		0		0	0.562%	0	   ~0%		  0		0	0	0	     0		 0	    0	    0
á	0	0		0		0.502%	0.118%	0	   0		  0		0	0	0	     0		 1.799%	    0	    0.867%
å	~0%	0		0		0	0	0	   0		  0		1.338%	0	0	     1.190%	 0	    0.003%  0
ä	0	0		0.578%		0	0	0	   0		  0		1.797%	0	0	     0		 0	    3.577%  0
ã	0	0		0		0	0.733%	0	   0		  0		0	0	0	     0		 0	    0	    0
ą	0	0		0		0	0	0	   0		  0		0	0.990%	0	     0		 0	    0	    0
æ	0	0		0		0	0	0	   0		  0		0	0	0	     0.872%	 0.867%	    0	    0
œ	0	0.018%		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0
ç	~0%	0.085%		0		0	0.530%	0	   0		  1.156%	0	0	0	     0		 0	    0	    0
ĉ	0	0		0		0	0	0.657%	   0		  0		0	0	0	     0		 0	    0	    0
ć	0	0		0		0	0	0	   0		  0		0	0.400%	0	     0		 0	    0	    0
č	~0%	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.462%
ď	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.015%
ð	0	0		0		0	0	0	   0		  0		0	0	0	     0		 4.393%	    0	    0
è	~0%	0.271%		0		0	0	0	   0.263%	  0		0	0	0	     0		 0	    0	    0
é	~0%	1.504%		0		0.433%	0.337%	0	   0		  0		0	0	0	     0		 0.647%	    0	    0.633%
ê	0	0.218%		0		0	0.450%	0	   ~0%		  0		0	0	0	     0		 0	    0	    0
ë	~0%	0.008%		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0
ę	0	0		0		0	0	0	   0		  0		0	1.110%	0	     0		 0	    0	    0
ě	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    1.222%
ĝ	0	0		0		0	0	0.691%	   0		  0		0	0	0	     0		 0	    0	    0
ğ	0	0		0		0	0	0	   0		  1.125%	0	0	0	     0		 0	    0	    0
ĥ	0	0		0		0	0	0.022%	   0		  0		0	0	0	     0		 0	    0	    0
î	0	0.045%		0		0	0	0	   ~0%		  0		0	0	0	     0		 0	    0	    0
ì	0	0		0		0	0	0	   (0.030%)	  0		0	0	0	     0		 0	    0	    0
í	0	0		0		0.725%	0.132%	0	   0.030%	  0		0	0	0	     0		 1.570%	    0	    1.643%
ï	~0%	0.005%		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0
ı	0	0		0		0	0	0	   0		  5.114%*	0	0	0	     0		 0	    0	    0
ĵ	0	0		0		0	0	0.055%	   0		  0		0	0	0	     0		 0	    0	    0
ł	0	0		0		0	0	0	   0		  0		0	1.820%	0	     0		 0	    0	    0
ñ	~0%	0		0		0.311%	0	0	   0		  0		0	0	0	     0		 0	    0	    0
ń	0	0		0		0	0	0	   0		  0		0	0.200%	0	     0		 0	    0	    0
ň	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.007%
ò	0	0		0		0	0	0	   0.002%	  0		0	0	0	     0		 0	    0	    0
ö	~0%	0		0.443%		0	0	0	   0		  0.777%	1.305%	0	0	     0		 0.777%	    0.444%  0
ô	~0%	0.023%		0		0	0.635%	0	   ~0%		  0		0	0	0	     0		 0	    0	    0
ó	0	0		0		0.827%	0.296%	0	   ~0%		  0		0	0.850%	0	     0		 0.994%	    0	    0.024%
õ	0	0		0		0	0.040%	0	   0		  0		0	0	0	     0		 0	    0	    0
ø	~0%	0		0		0	0	0	   0		  0		0	0	0	     0.939%	 0	    0	    0
ř	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.380%
ŝ	0	0		0		0	0	0.385%	   0		  0		0	0	0	     0		 0	    0	    0
ş	0	0		0		0	0	0	   0		  1.780%	0	0	0	     0		 0	    0	    0
ś	0	0		0		0	0	0	   0		  0		0	0.660%	0	     0		 0	    0	    0
š	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.688%
ß	0	0		0.307%		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0
ť	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.006%
þ	0	0		0		0	0	0	   0		  0		0	0	0	     0		 1.455%	    0	    0
ù	0	0.058%		0		0	0	0	   (0.166%)	  0		0	0	0	     0		 0	    0	    0
ú	0	0		0		0.168%	0.207%	0	   0.166%	  0		0	0	0	     0		 0.613%	    0	    0.045%
û	~0%	0.060%		0		0	0	0	   ~0%		  0		0	0	0	     0		 0	    0	    0
ŭ	0	0		0		0	0	0.520%	   0		  0		0	0	0	     0		 0	    0	    0
ü	~0%	0		0.995%		0.012%	0.026%	0	   0		  1.854%	0	0	0	     0		 0	    0	    0
ů	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.204%
ý	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0.228%	    0	    0.995%
ź	0	0		0		0	0	0	   0		  0		0	0.060%	0	     0		 0	    0	    0
ż	0	0		0		0	0	0	   0		  0		0	0.830%	0	     0		 0	    0	    0
ž	0	0		0		0	0	0	   0		  0		0	0	0	     0		 0	    0	    0.721%
